PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
long,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,15,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
other,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,16,None,Implement monitoring and targeting (M&T) using sub-metered data at building level to identify poor performance and reduce energy use.,HIGH
long,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,13,AE6,Consider installing a ground source heat pump.,HIGH
other,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,14,None,Consider installing thermal jackets on to heat exchanger plates in the plant room.,HIGH
short,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,1,X17,Consider a programme of fitting energy meters to the pool complex as part of the service and maintenance regime.,LOW
short,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
short,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,3,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
short,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,4,OM15,"It is recommended that energy management techniques are introduced. These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
short,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,5,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
short,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,6,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44. (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations),MEDIUM
short,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,7,BF1,Consider introducing or improving loft insulation.,MEDIUM
short,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,8,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,HIGH
short,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,9,P1,Ensure pool covers are in place whenever possible.,HIGH
medium,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,10,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
medium,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,11,BF4,Consider fitting secondary glazing and/or under glaze sky lights where appropriate.,MEDIUM
long,2b61cd4d53a434c1de8218bc58d514b8bf91ad50518a93aa5ec4e4c52ef0e37c,12,AE3,Consider installing building mounted solar water heating.,MEDIUM
short,2e33123944df816382f5f6c5b8ba28faa110b4f7fe9052b5144c54f5cf727a20,1,X16,Consider a programme of fitting energy meters to lifts and escalators as part of the service and maintenance regime.,MEDIUM
short,2e33123944df816382f5f6c5b8ba28faa110b4f7fe9052b5144c54f5cf727a20,2,LE1,"Consider engaging experts to review current lift and escalator provisions and propose upgrades, replacements or alternative solutions that improve service effectiveness and energy efficiency.",MEDIUM
medium,2e33123944df816382f5f6c5b8ba28faa110b4f7fe9052b5144c54f5cf727a20,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out. ,MEDIUM
long,2e33123944df816382f5f6c5b8ba28faa110b4f7fe9052b5144c54f5cf727a20,4,AE4,Consider installing building mounted photovoltaic electricity generating panels.,MEDIUM
long,2e33123944df816382f5f6c5b8ba28faa110b4f7fe9052b5144c54f5cf727a20,5,AE3,Consider installing building mounted solar water heating.,MEDIUM
long,2e33123944df816382f5f6c5b8ba28faa110b4f7fe9052b5144c54f5cf727a20,6,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
long,2e33123944df816382f5f6c5b8ba28faa110b4f7fe9052b5144c54f5cf727a20,7,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building. It is recommended that meters be installed and a regime of recording data be put in place. CIBSE TM 39 gives guidance on this.,MEDIUM
other,2e33123944df816382f5f6c5b8ba28faa110b4f7fe9052b5144c54f5cf727a20,8,None,Implement monitoring and targeting (M&T) using sub-metered data at building level to identify poor performance and reduce energy use.,MEDIUM
short,c0122905718b4b27e5ad4819ec1c08a0f5e3482d2c8cce53198a52fe7d8a9b8b,1,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,MEDIUM
short,c0122905718b4b27e5ad4819ec1c08a0f5e3482d2c8cce53198a52fe7d8a9b8b,2,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy.,MEDIUM
short,c0122905718b4b27e5ad4819ec1c08a0f5e3482d2c8cce53198a52fe7d8a9b8b,3,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
short,c0122905718b4b27e5ad4819ec1c08a0f5e3482d2c8cce53198a52fe7d8a9b8b,4,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
short,c0122905718b4b27e5ad4819ec1c08a0f5e3482d2c8cce53198a52fe7d8a9b8b,5,LE1,"Consider engaging experts to review current lift and escalator provisions and propose upgrades, replacements or alternative solutions that improve service effectiveness and energy efficiency.",MEDIUM
short,c0122905718b4b27e5ad4819ec1c08a0f5e3482d2c8cce53198a52fe7d8a9b8b,6,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
short,c0122905718b4b27e5ad4819ec1c08a0f5e3482d2c8cce53198a52fe7d8a9b8b,7,X16,Consider a programme of fitting energy meters to lifts and escalators as part of the service and maintenance regime.,LOW
medium,c0122905718b4b27e5ad4819ec1c08a0f5e3482d2c8cce53198a52fe7d8a9b8b,8,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance. This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
long,c0122905718b4b27e5ad4819ec1c08a0f5e3482d2c8cce53198a52fe7d8a9b8b,9,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
other,c0122905718b4b27e5ad4819ec1c08a0f5e3482d2c8cce53198a52fe7d8a9b8b,10,None,Implement monitoring and targeting (M&T) using sub-metered data at building level to identify poor performance and reduce energy use.,HIGH
short,98c9e0e77729796c52162af48d62cf053479c66517b5b3ef4abf1bb3ecc55046,1,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,MEDIUM
short,98c9e0e77729796c52162af48d62cf053479c66517b5b3ef4abf1bb3ecc55046,2,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",MEDIUM
short,98c9e0e77729796c52162af48d62cf053479c66517b5b3ef4abf1bb3ecc55046,3,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
short,98c9e0e77729796c52162af48d62cf053479c66517b5b3ef4abf1bb3ecc55046,4,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
short,98c9e0e77729796c52162af48d62cf053479c66517b5b3ef4abf1bb3ecc55046,5,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
medium,98c9e0e77729796c52162af48d62cf053479c66517b5b3ef4abf1bb3ecc55046,6,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out. ,MEDIUM
long,98c9e0e77729796c52162af48d62cf053479c66517b5b3ef4abf1bb3ecc55046,7,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
other,98c9e0e77729796c52162af48d62cf053479c66517b5b3ef4abf1bb3ecc55046,8,None,Implement monitoring and targeting (M&T) using sub-metered data at building level to identify poor performance and reduce energy use.,MEDIUM
other,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,18,None,Consider installing insulation to heating distribution pipework.,MEDIUM
medium,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,13,BF4,Consider fitting secondary glazing and/or under glaze sky lights where appropriate.,MEDIUM
short,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,1,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
short,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,2,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy.,MEDIUM
short,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,3,X8,Ensure building occupants understand when the various ventilation and cooling modes of the mixed mode ventilation system are in operation to avoid windows being opened when mechanical cooling is on.,MEDIUM
short,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,4,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
short,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,5,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
short,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,6,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",MEDIUM
short,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,7,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
short,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,8,HS10,Engage experts to survey the condition of the heating systems and propose remedial works.,MEDIUM
short,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,9,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,MEDIUM
short,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,10,X16,Consider a programme of fitting energy meters to lifts and escalators as part of the service and maintenance regime.,LOW
short,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,11,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
medium,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,12,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance. This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
medium,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,14,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out. ,MEDIUM
long,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,15,BF3,Consider replacing or improving glazing.,MEDIUM
long,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,16,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
other,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,17,None,Implement monitoring and targeting (M&T) using sub-metered data at building level to identify poor performance and reduce energy use.,HIGH
other,6fb84054fa5f610efb3e7bde814afbdf8c4c18dad7b211865a443ab7f6ab946e,19,None,"The site has a small roof-mounted wind turbine, but it is not metered; therefore, it is not know what, if any, contribution it makes towards electricity reduction. Install energy meter and record readings.",LOW
short,2e73037637d56016dd90a1738927c1120ff40405db336c9bebc418816a4eefcf,1,OM15,"It is recommended that energy management techniques are introduced. These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
